user_id,tweet_id,created_at,text
elonmusk,1350577525769043979,2021-01-16 22:55:49,@MrBeastYT I whistle
elonmusk,1350254430512361474,2021-01-16 01:31:57,@DMC_Ryan @C_R_H_M @Tesla Cybertruck doesn’t need a garage
elonmusk,1350253896267083776,2021-01-16 01:29:50,@DMC_Ryan @Tesla It will be awesome
elonmusk,1350253575344152583,2021-01-16 01:28:33,@owenshift Good point
elonmusk,1350251607737442310,2021-01-16 01:20:44,@signalapp Your server-side code is doing too much
elonmusk,1350203005971398659,2021-01-15 22:07:36,@Wikipedia Happy birthday Wikipedia! So glad you exist.
elonmusk,1350201582827302913,2021-01-15 22:01:57,@TheOnion Guess you been watching Cobra Kai
elonmusk,1350011037039415296,2021-01-15 09:24:47,@SuperclusterHQ @w00ki33 Fallout New Texas
elonmusk,1349995606387912704,2021-01-15 08:23:28,@Breedlove22 @benmezrich Only Chuck Norris can divide by zero
elonmusk,1349994270627926017,2021-01-15 08:18:10,@Cerberu21014829 @Breedlove22 @benmezrich Good point
elonmusk,1349977642708168704,2021-01-15 07:12:06,"@Breedlove22 @benmezrich The thing we call money is just an information system for labor allocation. 

What actuall… https://t.co/JZ6zmQGBO3"
elonmusk,1349970666477527042,2021-01-15 06:44:22,"Monty Python is amazing
https://t.co/UJq94IWT88"
elonmusk,1349961119054639105,2021-01-15 06:06:26,@RationalEtienne @tobyliiiiiiiiii @Erdayastronaut They sure can twist the knife in that show!
elonmusk,1349957857446391808,2021-01-15 05:53:28,@tobyliiiiiiiiii @Erdayastronaut Probably wise
elonmusk,1349956371127672834,2021-01-15 05:47:34,@Erdayastronaut We’re making major improvements to ease of engine swap. Needs to be a few hours at most.
elonmusk,1349954804999725056,2021-01-15 05:41:21,"@PPathole @johnkrausphotos @SpaceX Two of the engines need slight repairs, so will be switched out"
elonmusk,1349949822795706369,2021-01-15 05:21:33,@johnkrausphotos @SpaceX Nice shot
elonmusk,1349948702778134529,2021-01-15 05:17:06,"@realOmarAbdalah We don’t have high school internships, but please apply when you’re in college!"
elonmusk,1349818740725084161,2021-01-14 20:40:40,"@skorusARK Prototypes are easy, volume production is hard, positive cash flow is  excruciating"
elonmusk,1349582915496267776,2021-01-14 05:03:35,@Tesla Physics
elonmusk,1349564729417756672,2021-01-14 03:51:19,"RT @SpaceX: Splashdown of Dragon confirmed, completing SpaceX’s 21st @Space_Station resupply mission and the first return of a cargo resupp…"
elonmusk,1349478110027280386,2021-01-13 22:07:08,@Erdayastronaut Detanking &amp; inspections now. Good progress towards our “Hop in &amp; go to Mars!” goal.
